ID	text	Class
800	فى حاجات مينفعش نلفت نظركوا ليها زى الاصول كده يا اتربيتوا عليها يا لأ 😇	NOT_OFF
801	RT @USER: وعيون تنادينا تحايل فينا و نقول يا عيونه يا اما بلاش 💕	NOT_OFF
802	يا بلادي يا أم البلاد يا بلادي بحبك يا مصر بحبك يا بلادي بحبك بحبك يا مصر	NOT_OFF
803	RT @USER: يا رب يا قوي يا معين مدّني بالقوة و العون و الصبر أنتهت طاقتي و نفذ صبري فصبّرني	NOT_OFF
804	RT @USER: رحمك الله يا صدام يا بطل ومقدام. URL	NOT_OFF
805	يا جابر يا بنجرجي يا مرتزق يا حثالة الحمدين يا خربوط يا ساذج يا مليق يا إمعه يا مسيلمة الكذاب يا هامشهري آغا ملالي إيراني يا زهرا مار يا يا يا يا<LF>تتشمت بمصر وأبناء مصر !!<LF>أتعلم بأنك لست برجل ولا يوصف بك كرجل ولا من اتباع الرجال انت<LF>أنت حثالة ومن أتباع الحثالة يا خسيس URL	OFF
806	RT @USER: يا إنـتِ يا بعضــي وكلــي وذاتــي<LF>يا لـون الفــرح بكفــوف الياسميـن<LF>يا طعـم الفجر بالسنين المقبلاتـي<LF>يا اللي غلاك تمكن…	NOT_OFF
807	كحل عينك يا منحط يا وضيع يا متخلف @USER URL	OFF
808	@USER لعنة الله عليك يا النذل يا الواطي ولعنة الله على كل من هم على شاكلتك ممن يريدون الفتنة والخروج على حكامنا اللي ما تسوون تراب رجولهم	OFF
809	يا قلب، يا أحد الأصغرين، كيف اتّسعتَ لهذا الوجود ؟<LF>___فدوى طوقان	NOT_OFF
810	RT @USER: يا الجمهور يا الانسحاب مفيش حل وسط مع ولاد الوسخة #اتحاد_الكورة_المشبوه	OFF
811	يا بتاع السمسم يا مسمسم 🤔💛💛💛💛	NOT_OFF
812	@USER يا بكري يا معرص يا عار الصعيد <LF>ملعون ضهر ابوك يا عرص يا لقيط	OFF
813	عوافي يا قلبي تعبت<LF>الشر يا قلبي خطاك<LF>يا شمعة تضوي لين ذبت<LF>تعطي ولا بين عطاك<LF>🎼	NOT_OFF
814	RT @USER: غردي يا قوافي واسجعي يا حروف <LF>واعزفي يا بحور الشعر لحن الوفا <LF>ٰسخري كل ما عندك لزين الوصوف <LF>راسمالي مع المحبوب ساعة صفا💛ب…	NOT_OFF
815	يا رب الأفضل للأفضل.. يا رب الطيب للطيب.. يا رب النوايا لأهل النوايـا.. يا رب الخير كلـه لقلوبنا والجمال يتخلل أيامنا والرضى يا رب الرضى لأعماقنا	NOT_OFF
816	RT @USER: يا مبسمّي يا ضحكة ألوان الصبح من يعرفك ما لامني في لهفتي🎶.	NOT_OFF
817	RT @USER: @USER @USER يا نموت احرار يا نمشي ماليزيا	NOT_OFF
818	@USER امال:شوفتي يا ساميه يا اختي <LF>ساميه:خير يا امال يا اختي<LF>امال:النهارده شوفت فيل ب راس نمر<LF>ساميه: لا مش ممكن<LF>امال: لا انا شايفاه بعيني استني هبعتهولك ع الواتس <LF>ساميه: اه هو فيل ب راس قطه كبيره سبحان الله<LF>امال: سبحان الله <LF>س	NOT_OFF
