id	text	class_label	predicted_class_label
800	حاجات مينفعش نلفت نظركوا ليها زي الاصول كده اتربيتوا عليها 😇	NOT_OFF	NOT_OFF
801	USERIDX وعيون تنادينا تحايل فينا و نقول عيونه اما بلاش 💕	NOT_OFF	NOT_OFF
802	بلادي ام البلاد بلادي بحبك مصر بحبك بلادي بحبك بحبك مصر	NOT_OFF	NOT_OFF
803	USERIDX رب قوي معين مدني بالقوه و العون و الصبر انتهت طاقتي و نفذ صبري فصبرني	NOT_OFF	NOT_OFF
804	USERIDX رحمك الله صدام بطل ومقدام URL	NOT_OFF	NOT_OFF
805	جابر بنجرجي مرتزق حثاله الحمدين خربوط ساذج مليق امعه مسيلمه الكذاب هامشهري اغا ملالي ايراني زهرا مار ياتتشمت بمصر وابناء مصر اتعلم بانك برجل يوصف كرجل اتباع الرجال انتانت حثاله اتباع الحثاله خسيس URL	OFF	OFF
806	USERIDX ان ت ي وكل ي وذات ييا ل ون الف رح بكف وف الياسمي نيا طع م الفجر بالسنين المقبلات ييا اللي غلاك تمكن	NOT_OFF	NOT_OFF
807	كحل عينك منحط وضيع متخلف USERIDX URL	OFF	OFF
808	USERIDX لعنه الله النذل الواطي ولعنه الله علي علي شاكلتك يريدون الفتنه والخروج علي حكامنا اللي تسوون تراب رجولهم	OFF	OFF
809	قلب احد الاصغرين اتسعت لهذا الوجود فدوي طوقان	NOT_OFF	NOT_OFF
810	USERIDX الجمهور الانسحاب مفيش حل وسط ولاد الوسخه اتحاد الكوره المشبوه	OFF	OFF
811	بتاع السمسم مسمسم 🤔💛💛💛💛	NOT_OFF	NOT_OFF
812	USERIDX بكري معرص عار الصعيد ملعون ضهر ابوك عرص لقيط	OFF	OFF
813	عوافي قلبي تعبتالشر قلبي خطاكيا شمعه تضوي لين ذبتتعطي عطاك🎼	NOT_OFF	NOT_OFF
814	USERIDX غردي قوافي واسجعي حروف واعزفي بحور الشعر لحن الوفا ٰسخري عندك لزين الوصوف راسمالي المحبوب ساعه صفا💛ب	NOT_OFF	NOT_OFF
815	رب الافضل للافضل رب الطيب للطيب رب النوايا لاهل النواي ا رب الخير ه لقلوبنا والجمال يتخلل ايامنا والرضي رب الرضي لاعماقنا	NOT_OFF	NOT_OFF
816	USERIDX مبسمي ضحكه الوان الصبح يعرفك لامني لهفتي🎶	NOT_OFF	NOT_OFF
817	USERIDX USERIDX USERIDX نموت احرار نمشي ماليزيا	NOT_OFF	NOT_OFF
818	USERIDX امال شوفتي ساميه اختي ساميه خير امال اختيامال النهارده شوفت فيل ب راس نمرساميه مش ممكنامال انا شايفاه بعيني استني هبعتهولك ع الواتس ساميه اه فيل ب راس قطه كبيره سبحان اللهامال سبحان الله س	NOT_OFF	NOT_OFF
819	يااااه دا جواك ليا طيب كويس انك فضفضت قبل البلوك عشان متفرقعش ف يوم بسببي وانا مش كدا عشان انت معندكش شخصيه شايف اني متكبره وعشان ان انسان ضعيف شايفني مستهلكش وعشان رخيص شايفني مقدرتش حبي ليك يلا معلش وهابي بلوك عره الرجاله ضعيف الشخصيه URL	OFF	OFF
